epoch,train_loss,test_loss
1,2.3420549312583967,2.2709337132758636
2,2.2367089570996006,2.167987287673059
3,2.1447650449163707,2.0784359359448086
4,2.0641196047176336,2.000151907077909
5,1.9928980104050924,1.9312439761181472
6,1.9295484752561982,1.8701512550146706
7,1.8728087427550444,1.8156060704092354
8,1.821705868757287,1.7666300221587994
9,1.7754957205981674,1.7224722425609396
10,1.733584272987195,1.6825359480805673
11,1.6954901545790149,1.6463409199001648
12,1.6607915713057126,1.6134674094496737
13,1.629215135107023,1.5836386918729164
14,1.6004894012164315,1.556582260174918
15,1.5743634662971826,1.5320486940017413
16,1.5506108363053959,1.5098123376900134
17,1.5289569166040202,1.489604409778436
18,1.509077752103676,1.4711153608046865
19,1.4910282491537894,1.4543808379217054
20,1.4746292369027956,1.4392253422490409
21,1.459716485960344,1.4254855047201973
22,1.446124251787172,1.4130010193493334
23,1.4336982119158086,1.4016197466641225
24,1.422332128684971,1.3912347300997003
25,1.4119038287324464,1.3817271752622935
26,1.4023037470337645,1.3729901577807975
27,1.3934275616482463,1.3649234986240617
28,1.3851379876686818,1.357397543609535
29,1.3769842128308472,1.3500004338618006
30,1.3693464468938235,1.3430726047571624
31,1.362167772878696,1.3365584077244743
32,1.3553880035216828,1.330400269900383
33,1.3489564986068199,1.3245501107012911
34,1.3428349352864375,1.3189714264737091
35,1.3369887686939994,1.3136323251418558
36,1.3313740306806638,1.3084924778675002
37,1.3259624919255972,1.303525617454035
38,1.3207293093191246,1.298708996310601
39,1.3156545885597413,1.2940214082507355
40,1.3107209928052241,1.289451156621553
41,1.305910242353187,1.2849812638342935
42,1.3012076302299074,1.2805987737391145
43,1.2966023197104406,1.2762940324762104
44,1.2920842787783064,1.2720581607125614
45,1.2876462657603505,1.267885562064191
46,1.2832590558540469,1.2637492324103101
47,1.278876138587487,1.2596084987165344
48,1.274565105754531,1.2555278788915376
49,1.2703104294483527,1.2514910632528826
50,1.266107965487275,1.247494877558819
51,1.2619538453046992,1.2435362639286183
52,1.2578447697734225,1.2396128159182702
53,1.2537781982440406,1.2357226984160286
54,1.2497519216817021,1.231864232006518
55,1.2457641793513619,1.2280364240368475
56,1.2418120094665832,1.2242365890541342
57,1.2378941722873664,1.220463363661528
58,1.2340112572099717,1.2167185654905406
59,1.2301617464724646,1.2130014519090087
60,1.2263326516345296,1.2092993381114767
61,1.222507824356014,1.2055955021136886
62,1.2187139219062266,1.2019181556573995
63,1.2149503664439727,1.1982670582196207
64,1.2112166591665694,1.1946420212794573
65,1.2075122406412964,1.1910428238155861
66,1.203835030419594,1.1874690520011
67,1.2002003224816291,1.183931316028958
68,1.1966071372533138,1.180430302054156
69,1.1930416510241948,1.1769544885369625
70,1.1895036490062756,1.1735038415453087
71,1.1859929425363136,1.1700783467450049
72,1.1825093931717905,1.1666778940258402
73,1.1790553935153218,1.1633050709123387
74,1.1756336417293949,1.1599621485277518
75,1.1722374693442617,1.1566429333785997
76,1.1688655962656929,1.1533460266695015
77,1.1655200221868438,1.150074033248873
78,1.1622007721200818,1.1468271267958052
79,1.1589077753711439,1.1436053173165035
80,1.1556409931891065,1.1404086019200945
81,1.1524007083138477,1.1372371504163277
82,1.1491867148916948,1.134091199947193
83,1.145998758087243,1.130970489021783
84,1.1428362990863596,1.1278746909970097
85,1.1396959102643984,1.1247999835991043
86,1.1365812798833974,1.121750276294388
87,1.1334924116640157,1.11872566187799
88,1.1304298304947076,1.1157265856694958
89,1.1273915027148285,1.1127513205981416
90,1.124377765224453,1.1097998052477833
91,1.1213886819710013,1.1068727001604826
92,1.1184250183145992,1.1039701938333248
93,1.11548668330354,1.1010925698312826
94,1.1125736397864094,1.0982395983823723
95,1.1096857931129105,1.095411119289353
96,1.106823068335061,1.092607331360578
97,1.1039853921015703,1.089828179694058
98,1.1011726802928208,1.0870735978299477
99,1.0983847423943798,1.0843434149656161
100,1.0956215529995463,1.0816375952091273
101,1.0928797847968856,1.0789529201401762
102,1.0901653658072596,1.076292312401219
103,1.0874959125607657,1.0736728604964774
104,1.0848505035400298,1.0710774668343195
105,1.0822290543607744,1.068506028511053
106,1.0796311259991052,1.0659581357694454
107,1.0770199030192256,1.0633938771466098
108,1.0744337285080752,1.0608550267932493
109,1.0718724816200036,1.0583414132441658
110,1.0693360407486494,1.0558528642960652
111,1.06682428320607,1.0533892119631847
112,1.0643370734071258,1.0509501738174543
113,1.0618745736024002,1.048535960757266
114,1.0594373683595164,1.0461471603848806
115,1.057023667609821,1.043782154942854
116,1.0546339965735427,1.041441225421311
117,1.0522682266993282,1.0391242176255868
118,1.0499259845840703,1.0368308598536213
119,1.0476069485398327,1.0345607616182033
120,1.0453114749795367,1.032314139585269
121,1.043039473590267,1.0300909385933055
122,1.0407906423202176,1.0278908261270314
123,1.0385648390671345,1.0257136479006417
124,1.0363619213337023,1.0235592559303606
125,1.0341817530119133,1.0214274928647937
126,1.0320241640717756,1.0193181811642327
127,1.0298890007460881,1.0172311573299004
128,1.0277761073720402,1.0151662479330956
129,1.025685532466128,1.013123275339864
130,1.0236183379166996,1.0111030145107345
131,1.0215725000200304,1.009103916478033
132,1.0195404137784547,1.0071195791513399
133,1.0175296743486986,1.00515634726264
134,1.0155353430014165,1.0032099243561974
135,1.0135620329296706,1.0012840812536263
136,1.0116098499698234,0.9993790134714762
137,1.0096786075425597,0.9974945671238062
138,1.00776813489187,0.9956305861356338
139,1.0058782600052791,0.9937869067125513
140,1.0040088096852111,0.991963362920132
141,1.0021596096221372,0.9901597870474927
142,1.0003304754327131,0.988376009742105
143,0.9985212255109118,0.9866118477095722
144,0.9967316854623638,0.9848671413798912
145,0.9949616032174317,0.9831416304090563
146,0.9932108371554125,0.9814351765066078
147,0.9914788931235715,0.9797473489323675
148,0.9897659460054485,0.9780782193327541
149,0.9880723247776763,0.9764280394067258
150,0.986398517189505,0.9747972386813502
151,0.9847431520968184,0.9731846522235347
152,0.9831058922888908,0.9715898575811533
153,0.9814864689410998,0.9700127191570245
154,0.9798849455300286,0.9684532462717719
155,0.9783011475921661,0.9669112531486657
156,0.9767349244159204,0.9653865927415199
157,0.9751860556333807,0.9638790568075911
158,0.9736543677401241,0.9623885041473287
159,0.9721396816620431,0.960914731058434
160,0.9706417196530791,0.9594575373921467
161,0.9691599974006533,0.9580161670881947
162,0.9676947405223781,0.9565909915085159
163,0.9662457650919967,0.9551818699149942
164,0.9648128919157419,0.9537886242183343
165,0.9633959423907664,0.9524110769962166
166,0.9619947631093797,0.9510490738745011
167,0.960609351784074,0.949702636376562
168,0.9592393382978389,0.9483713665884543
169,0.9578838273440328,0.9470547574563054
170,0.9565425597287752,0.945752030239043
171,0.9552161927917827,0.9444639948367133
172,0.9539045529167096,0.9431904767867602
173,0.9526074727566898,0.9419313027481437
174,0.951324782228811,0.9406863050000523
175,0.9500555481618365,0.9394544613677192
176,0.9487860092697751,0.9382239344763362
177,0.9475307179233698,0.9370073571847429
178,0.9462894347934613,0.9358045285790854
179,0.9450619122814676,0.9346151914925691
180,0.9438481300455209,0.9334392733998489
181,0.9426479306265794,0.9322766098238674
182,0.9414610426959661,0.9311269565400107
183,0.9402873920153818,0.9299902530512967
184,0.9391268133885297,0.9288663415807419
185,0.9379888837674081,0.9277650091056043
186,0.9368704349380222,0.9266827573533679
187,0.9357645435234744,0.9256127493930573
188,0.9346707635322378,0.924554548874898
189,0.933582913420601,0.923502768576108
190,0.9324811365222206,0.9224347168942512
191,0.9313925494868125,0.9213799353258738
192,0.9303160773370129,0.9203375621632304
193,0.9292507419052807,0.9193066677021094
194,0.9281974702106638,0.9182877756732035
195,0.9271560866681258,0.9172807027184895
196,0.9261264777539273,0.9162852866572495
197,0.9251084498033372,0.915301326427114
198,0.9241017371986464,0.9143285426511455
199,0.9231062635189449,0.9133668347003014
200,0.922118880099779,0.9124133169719225
201,0.9211328463020486,0.9114633257388166
202,0.9201576390792645,0.9105237826597689
203,0.9191936309307651,0.9095948362850311
204,0.9182401074383608,0.9086760482964502
205,0.917296952312911,0.9077673116758687
206,0.9163639305799537,0.9068683325732507
207,0.9154403205025614,0.905978321316909
208,0.9145266970559114,0.9050980055602088
209,0.9136229042685129,0.9042272354400934
210,0.9127287185877108,0.9033658102902263
211,0.9118438446038327,0.9025134409072505
212,0.9109684594661329,0.9016702938552779
213,0.9101023738044726,0.9008361922661807
214,0.9092454475873825,0.9000110154283595
215,0.9083975638098365,0.8991946363657177
216,0.9075585925901782,0.8983869353038696
217,0.9067283855710893,0.8975877733801363
218,0.905906863063257,0.8967970737879487
219,0.9050940714294781,0.8960149584284424
220,0.9042897137753603,0.895241055831905
221,0.903493673235081,0.8944752521548236
222,0.9027058344405979,0.8937174348892875
223,0.9019260852475621,0.8929674969211097
224,0.9011540266317435,0.892225058408511
225,0.9003892341198959,0.8914895778815579
226,0.8996321976924029,0.8907616753667822
227,0.8988828287064557,0.890041248400349
228,0.8981410202026541,0.8893281909242335
229,0.8974064900807373,0.8886223345178453
230,0.8966785194325929,0.8879232126038018
231,0.8959577569094337,0.8872310457154635
232,0.8952441681660622,0.8865458513136034
233,0.8945376467414025,0.8858675313157639
234,0.8938380869086272,0.8851959805359285
235,0.8931454037990813,0.8845311120485635
236,0.8924594923270562,0.8838728214226764
237,0.8917798243956128,0.8832206611161314
238,0.8911003853709879,0.8825681475658326
239,0.8904275882624783,0.8819221852840765
240,0.8897610749141199,0.8812825303721137
241,0.8891010773980241,0.8806492341307519
242,0.8884478470493142,0.880022729010407
243,0.8878009497223893,0.8794023760486647
244,0.8871603358476798,0.8787880407235376
245,0.8865259311947402,0.8781796791315122
246,0.8858975412323736,0.8775771712818851
247,0.8852750512164239,0.876980426698359
248,0.8846583777010076,0.8763893950652123
249,0.8840474835331845,0.8758039788868812
250,0.8834422863463248,0.8752240970571017
251,0.882842705705443,0.8746496692187173
252,0.8822486623256667,0.874080616027625
253,0.8816600780038278,0.8735168589868931
254,0.8810768609194559,0.8729583227432708
255,0.880498915502872,0.8724049061549632
256,0.8799261949303551,0.8718565589853154
257,0.8793586203275245,0.8713132025252801
258,0.8787960592825914,0.8707747086353705
259,0.8782379853158183,0.870240734259085
260,0.8776847551393818,0.8697114330608701
261,0.8771364071043798,0.86918685091726
262,0.8765928845189928,0.8686669322047278
263,0.876054106209149,0.8681515989098652
264,0.87552000573248,0.8676407863692562
265,0.8749905176562044,0.8671344308694938
266,0.8744655775063325,0.8666324696250551
267,0.8739451217689403,0.8661348407727175
268,0.8734290849844638,0.8656414833616147
269,0.872917403816198,0.8651523373018307
270,0.8724100223532351,0.8646673432069562
271,0.8719068807904322,0.8641864428468807
272,0.8714079202192367,0.8637095788564451
273,0.870913082615306,0.8632366947253196
274,0.8704223108262331,0.8627677347877326
275,0.8699355485593879,0.8623026442120845
276,0.8694527403698683,0.8618413689904721
277,0.8689738327937441,0.861383858599986
278,0.8684987837878535,0.8609300692070567
279,0.8680275388448243,0.8604799408689299
280,0.8675602746236154,0.8600336187570091
281,0.8670966992737671,0.8595908451306228
282,0.8666367701510235,0.8591515772552824
283,0.8661804246549758,0.8587157613764226
284,0.865727613811457,0.8582833501469178
285,0.8652782834003567,0.8578542884773752
286,0.8648323512494226,0.8574285095732074
287,0.8643897892607774,0.8570059882855497
288,0.8639504355860339,0.8565866019198695
289,0.8635140880043201,0.8561702168432817
290,0.863080999806376,0.8557569578628385
291,0.8626511269450721,0.8553468055674499
292,0.8622244260442773,0.8549396986972216
293,0.8618009132600472,0.8545357329805682
294,0.8613805742912113,0.8541347805296371
295,0.8609632761434359,0.8537367375163454
296,0.8605489790473071,0.8533415769506175
297,0.8601376429028612,0.8529492618894906
298,0.8597292282207003,0.8525598028903604
299,0.8593236961127765,0.852173111983707
300,0.8589210082833002,0.8517891522933417
301,0.8585211270197746,0.8514078874744929
302,0.8581240151841465,0.8510292817098439
303,0.857729636204078,0.8506532997051244
304,0.8573379540643375,0.8502799066843234
305,0.8569489144450337,0.8499090683828245
306,0.8565626843065638,0.8495410059951439
307,0.8561811515085145,0.8491778028791579
308,0.8558021495430883,0.8488169863136577
309,0.8554256493814528,0.8484585327324703
310,0.8550516180820289,0.8481024148305436
311,0.8546800238165706,0.8477486055609859
312,0.8543108349378505,0.8473970777347183
313,0.8539440204053322,0.8470478042558247
314,0.8535795495856492,0.8467007581267545
315,0.8532173908604125,0.84635591248938
316,0.8528575057586716,0.8460132349481706
317,0.8524998753370324,0.8456727050412524
318,0.8521444707985366,0.8453342963430387
319,0.8517911625508587,0.8449978976572816
320,0.8514385257324248,0.844662480972793
321,0.8510880881166538,0.84432912910968
322,0.850739788940295,0.843997807322298
323,0.8503936462605387,0.8436685267288037
324,0.8500495950431988,0.8433412220305236
325,0.8497076147019376,0.8430158706248242
326,0.8493676859273056,0.8426924597214944
327,0.8490297685995907,0.842370956875276
328,0.8486938030329688,0.8420513341287575
329,0.8483598007133819,0.8417335732397666
330,0.848027737142699,0.8414176522789413
331,0.8476975887891944,0.8411035495887775
332,0.8473693329889973,0.8407912442941506
333,0.8470429462854038,0.8404807143926674
334,0.8467184728496829,0.840171987913826
335,0.8463958201000248,0.8398649921227886
336,0.8460749657258639,0.839559706501882
337,0.8457558877540633,0.8392561107377254
338,0.8454385642282606,0.8389541839955179
339,0.8451229725629573,0.838653904357536
340,0.8448090933907844,0.8383552550451882
341,0.8444969060332621,0.838058216636171
342,0.8441863901206205,0.8377627699460461
343,0.8438775260329978,0.837468896012136
344,0.8435703089142302,0.8371765867389833
345,0.8432647037063387,0.8368858125086155
346,0.8429606840844436,0.8365965581127077
347,0.842658209110007,0.8363087863491042
348,0.8423572904218802,0.8360224977526814
349,0.8420579095840238,0.8357376746481119
350,0.841760050168858,0.8354542839367721
351,0.8414637136755441,0.8351722382692197
352,0.8411688614282955,0.8348916074708301
353,0.8408754761623735,0.8346123748719633
354,0.8405835408419751,0.8343345240569949
355,0.840293038549391,0.83405803864888
356,0.8400039541365043,0.8337829041721949
357,0.839716278798546,0.833509126146628
358,0.8394299857083161,0.8332366669776902
359,0.8391450563519948,0.8329655072299519
360,0.8388614833395656,0.8326956394490325
361,0.8385793076521313,0.8324270988447764
362,0.8382984550783165,0.8321598188946778
363,0.83801891073492,0.8318937851409014
364,0.837740658928538,0.8316289777399314
365,0.8374636844431811,0.8313653856052013
366,0.83718797469313,0.8311029977687961
367,0.8369135156567201,0.830841800517929
368,0.8366402935180328,0.830581780487751
369,0.8363682946636511,0.8303229245198763
370,0.8360975029043292,0.8300652196580696
371,0.8358279028750729,0.8298086517033987
372,0.8355594864116126,0.8295532092157973
373,0.8352922406804881,0.8292988798083883
374,0.835026153035277,0.829045651329125
375,0.83476121101366,0.8287935118050209
376,0.8344974022119598,0.8285424494392799
377,0.8342347013211678,0.8282924555663624
378,0.8339731092890449,0.8280435233200191
379,0.833712646919614,0.8277956350395766
380,0.8334533232050348,0.827548808308298
381,0.833195002740582,0.8273029670077947
382,0.8329379124343332,0.8270582605958979
383,0.8326818801716757,0.8268145629026236
384,0.8324269057634782,0.8265718783874073
385,0.8321729577530678,0.8263301752091511
386,0.8319200180981482,0.8260894404311134
387,0.8316680882863792,0.8258496655071478
388,0.8314171579857462,0.8256108403824994
389,0.8311673742278631,0.8253730870543802
390,0.8309186936144988,0.8251363142947163
391,0.8306709959488355,0.824900466172025
392,0.8304242820582297,0.8246655680174584
393,0.8301785190639586,0.8244315774829749
394,0.8299337043052398,0.8241985022073022
395,0.829689820892105,0.8239663124091873
396,0.8294468596072537,0.8237349990404258
397,0.8292048114113221,0.8235045503020504
